Scan Report - Security Assessment
Target:,dbu.edu.et
Scan Type:,web
Date:,2025-10-05T22:59:22.698413
Total Vulnerabilities:,2

ID,Title,Severity,Port,Service,CVE,Description,Solution
1-web-1,Missing X-Frame-Options Header,medium,N/A,N/A,N/A,Clickjacking protection is not enabled,Add X-Frame-Options header to prevent clickjacking
1-web-2,Missing X-Content-Type-Options Header,low,N/A,N/A,N/A,MIME type sniffing protection not enabled,Add X-Content-Type-Options: nosniff header
